test_dataset,pretrained,few,shot,run,epoch,val_acc,test_acc,duration_sec,log_file
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,4,42,0.7240,0.7030,29.42,experiment_log_2025-09-21 04:30:19.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,5,78,0.7220,0.7080,30.73,experiment_log_2025-09-21 04:30:50.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,1,151,0.9288,0.9366,108.38,experiment_log_2025-09-21 06:38:46.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,2,147,0.9163,0.9255,108.88,experiment_log_2025-09-21 06:40:34.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,3,179,0.9196,0.9281,115.55,experiment_log_2025-09-21 06:42:30.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,4,147,0.9196,0.9216,103.15,experiment_log_2025-09-21 06:44:13.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,5,139,0.9229,0.9065,101.62,experiment_log_2025-09-21 06:45:55.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,1,86,0.9242,0.9216,110.66,experiment_log_2025-09-21 06:47:45.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,2,96,0.9059,0.9268,101.48,experiment_log_2025-09-21 06:49:27.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,3,128,0.9255,0.9261,122.45,experiment_log_2025-09-21 06:51:29.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,4,174,0.9320,0.9314,109.31,experiment_log_2025-09-21 06:53:19.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,5,144,0.9203,0.9261,107.87,experiment_log_2025-09-21 06:55:06.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,1,145,0.8811,0.8762,98.50,experiment_log_2025-09-21 06:56:45.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,2,95,0.8784,0.8693,107.43,experiment_log_2025-09-21 06:58:32.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,3,145,0.8515,0.8591,121.76,experiment_log_2025-09-21 07:00:34.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,4,79,0.8857,0.8793,104.25,experiment_log_2025-09-21 07:02:18.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,5,149,0.8883,0.8735,99.66,experiment_log_2025-09-21 07:03:58.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,1,85,0.8890,0.8924,97.52,experiment_log_2025-09-21 07:05:36.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,2,129,0.8904,0.8922,101.82,experiment_log_2025-09-21 07:07:17.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,3,121,0.8910,0.8836,102.68,experiment_log_2025-09-21 07:09:00.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,4,99,0.8871,0.8942,109.39,experiment_log_2025-09-21 07:10:49.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,5,161,0.8851,0.8919,105.02,experiment_log_2025-09-21 07:12:35.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,1,178,0.9405,0.9255,102.52,experiment_log_2025-09-21 04:32:32.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,2,145,0.9275,0.9229,109.37,experiment_log_2025-09-21 04:34:22.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,3,124,0.9294,0.9176,96.98,experiment_log_2025-09-21 04:35:58.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,4,115,0.9281,0.9111,104.10,experiment_log_2025-09-21 04:37:43.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,5,163,0.9183,0.9170,101.88,experiment_log_2025-09-21 04:39:24.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,1,178,0.9320,0.9183,101.77,experiment_log_2025-09-21 04:41:06.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,2,145,0.9157,0.9157,97.35,experiment_log_2025-09-21 04:42:44.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,3,169,0.9386,0.9275,104.27,experiment_log_2025-09-21 04:44:28.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,4,168,0.9301,0.9229,95.50,experiment_log_2025-09-21 04:46:03.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,5,134,0.9163,0.9209,141.94,experiment_log_2025-09-21 04:48:25.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,1,144,0.8883,0.8803,134.40,experiment_log_2025-09-21 04:50:40.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,2,123,0.8844,0.8763,120.31,experiment_log_2025-09-21 04:52:40.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,3,198,0.8699,0.8627,130.10,experiment_log_2025-09-21 04:54:50.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,4,144,0.8870,0.8868,99.21,experiment_log_2025-09-21 04:56:29.txt
